Date,Not indexed,Indexed,Impressions
2025-10-17,,,412
2025-10-18,742,1245,242
2025-10-19,780,2002,256
2025-10-20,780,2002,310
2025-10-21,780,2002,293
2025-10-22,943,2960,433
2025-10-23,943,2960,376
2025-10-24,943,2960,344
2025-10-25,943,2960,356
2025-10-26,1004,3149,372
2025-10-27,1004,3149,276
2025-10-28,1004,3149,267
2025-10-29,990,3547,270
2025-10-30,990,3547,251
2025-10-31,990,3547,250
2025-11-01,990,3547,286
2025-11-02,829,3719,319
2025-11-03,829,3719,247
2025-11-04,829,3719,376
2025-11-05,581,4000,428
2025-11-06,581,4000,349
2025-11-07,581,4000,486
2025-11-08,581,4000,513
2025-11-09,477,4113,498
2025-11-10,477,4113,705
2025-11-11,477,4113,439
2025-11-12,482,4368,468
2025-11-13,482,4368,361
2025-11-14,482,4368,288
2025-11-15,482,4368,303
2025-11-16,320,4559,413
2025-11-17,320,4559,179
2025-11-18,320,4559,17
2025-11-19,1222,3777,16
2025-11-20,1222,3777,18
2025-11-21,1222,3777,13
2025-11-22,1222,3777,7
2025-11-23,4439,478,13
2025-11-24,4439,478,13
2025-11-25,4439,478,19
2025-11-26,4439,478,2
2025-11-27,4439,478,1
2025-11-28,4439,478,3
2025-11-29,4439,478,5
2025-11-30,4439,478,2
2025-12-01,4439,478,2
2025-12-02,4439,478,3
2025-12-03,4439,478,1
2025-12-04,4439,478,6
2025-12-05,4439,478,2
2025-12-06,4439,478,4
2025-12-07,4439,478,3
2025-12-08,4439,478,1
2025-12-09,4439,478,0
2025-12-10,4439,478,1
2025-12-11,4439,478,3
2025-12-12,4439,478,0
2025-12-13,4439,478,1
2025-12-14,4439,478,6
2025-12-15,4439,478,0
2025-12-16,4700,217,3
2025-12-17,4700,217,1
2025-12-18,4700,217,0
2025-12-19,4700,217,3
2025-12-20,4700,217,0
2025-12-21,4700,217,0
2025-12-22,4700,217,1
2025-12-23,4700,217,6
2025-12-24,4801,116,7
2025-12-25,4801,116,1
2025-12-26,4801,116,0
2025-12-27,4801,116,2
2025-12-28,4801,116,2
2025-12-29,4801,116,1
2025-12-30,4801,116,1
2025-12-31,4801,116,1
2026-01-01,4801,116,0
2026-01-02,4801,116,0
2026-01-03,4801,116,0
2026-01-04,4883,34,1
2026-01-05,4883,34,3
2026-01-06,4883,34,3
2026-01-07,4886,31,3
2026-01-08,4886,31,2
2026-01-09,4886,31,1
2026-01-10,4886,31,3
2026-01-11,4888,30,11
2026-01-12,4888,30,12
2026-01-13,4888,30,2
